pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10560,2744.04,2740.78,7,2742.69,Buy,1.5499999999997272,0.9899999999997817,-5.04
10561,2744.04,2741.13,7,2742.8,Buy,0.11999999999989086,1.5499999999997272,-5.37
10562,2740.05,2736.72,7,2740.1,Buy,0.15000000000009095,0.03999999999996362,5
10563,2740.73,2736.72,8,2740.8,Buy,0.7300000000000182,0.15000000000009095,5.19
10564,2740.95,2736.72,9,2741.05,Buy,0.25,0.7300000000000182,5.2
10565,2740.95,2736.87,8,2741.01,Buy,0.01999999999998181,0.25,5.17
10566,2740.95,2737.98,7,2740.73,Buy,0.2199999999997999,0.01999999999998181,5.26
10567,2740.87,2738.41,7,2740.96,Buy,1.0899999999996908,0.27999999999974534,5.29
10568,2742.26,2739.41,7,2742.36,Buy,0.3400000000001455,0.21000000000003638,-6.15
10569,2742.94,2739.78,7,2743.04,Buy,0.5599999999999454,0.36999999999989086,-6.83
10570,2743.37,2740.71,7,2743.36,Buy,0.4299999999998363,0.5599999999999454,-7.15
10571,2743.45,2740.71,8,2743.54,Buy,0.18999999999959982,0.4299999999998363,-7.33
10572,2743.45,2741.3,7,2743.45,Buy,0.07999999999992724,0.18999999999959982,-6.66
10573,2743.22,2741.88,7,2743.27,Buy,1.099999999999909,0.009999999999763531,-6.75
10574,2743.49,2741.88,7,2743.35,Buy,0.31999999999970896,1.099999999999909,-8.09
10575,2743.49,2741.88,8,2743.34,Buy,0.0500000000001819,0.31999999999970896,-7.13
10576,2743.56,2741.88,8,2743.66,Buy,0.3200000000001637,0.0500000000001819,-7.14
10577,2743.56,2741.88,7,2743.4,Buy,0.27999999999974534,0.3200000000001637,-7.19
10578,2743.56,2741.88,7,2743.03,Buy,0.3500000000003638,0.27999999999974534,-6.24
10579,2741.18,2739.33,7,2741.25,Buy,0.11999999999989086,0.30999999999994543,-5.99
10580,2741.48,2739.33,8,2741.58,Buy,0.32999999999992724,0.11999999999989086,-5.37
10581,2741.48,2739.33,8,2741.43,Buy,0.03000000000020009,0.32999999999992724,-5.22
10582,2741.64,2739.74,8,2741.73,Buy,0.30999999999994543,0.03000000000020009,-5.03
10583,2741.64,2739.84,7,2740.94,Buy,0.7699999999999818,0.30999999999994543,5.05
10584,2741.64,2739.96,7,2741.33,Buy,0.3799999999996544,0.7699999999999818,-5.12
10585,2741.64,2740.42,7,2741.36,Buy,0.07999999999992724,0.3799999999996544,-5.06
10586,2741.66,2740.73,7,2741.76,Buy,0.29999999999972715,0.07999999999992724,-5.24
10587,2741.44,2739.87,7,2741.47,Buy,0.5,0.01999999999998181,-6.21
10588,2741.89,2740.96,7,2741.74,Buy,0.11000000000012733,0.1299999999996544,-5.53
10589,2743.64,2742.74,7,2743.74,Buy,0.05999999999994543,0.08000000000038199,-5.19
10590,2744.21,2743.54,7,2744.3,Buy,0.2300000000000182,0.01999999999998181,-5.62
10591,2744.61,2743.65,7,2744.7,Buy,0.41000000000030923,0.2300000000000182,-6.02
10592,2744.76,2743.68,7,2744.86,Buy,0.11000000000012733,0.41000000000030923,-6.31
10593,2744.71,2743.68,7,2744.67,Buy,0.16000000000030923,0.11000000000012733,-6.12
10594,2744.71,2743.9,7,2744.66,Buy,0.03000000000020009,0.07000000000016371,-8.45
10595,2744.76,2743.95,7,2744.81,Buy,0.20000000000027285,0.03000000000020009,-6.26
10596,2744.76,2743.95,7,2744.81,Buy,0.01999999999998181,0.20000000000027285,-6.13
10597,2744.79,2744.42,7,2744.6,Buy,0.07999999999992724,0.38000000000010914,-6.05
